"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
pre_trop_m;prevaecls_hemodynamics_ventilation_labor;" ";yesno;"Troponin measured? ";;;;;;;[pre_lab_results]='1';;RH;;;;
pre_trop;prevaecls_hemodynamics_ventilation_labor;;text;Troponin;;;number;0;100;;[pre_trop_m]='1';;;;;;
ecls_order;eclsmode;;dropdown;"ECLS Order";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10";;;;;;;;;;;;
ecls_conv;eclsmode;;yesno;"ECLS Conversion";;;;;;;;;RH;;;;
ecls_run;eclsmode;;yesno;"New ECLS run";;"NOT ECLS conversion, >12h after total ECLS-explantation new ECLS run";;;;;;;RH;;;;
ecls_start_date;eclsmode;;text;"Start Date";;;date_dmy;;;;;;;;;;
ecls_start_time;eclsmode;;text;"Start Time ";;;time;;;;;;;;;;
ecls_icu;eclsmode;"<div class=""rich-text-field-label""><p>Place where ECLS received</p> <p><span style=""font-weight: normal;"">German Heart Center: Surgical ICU or Operating Room</span></p> <p><span style=""font-weight: normal;"">Different hospital: best fitting type</span></p></div>";radio;"Place where ECLS received";"1, Adult Cardiac|2, Adult Non Surgical|3, Cardiovascular ICU|4, ECLS ICU|5, Emergency Department|6, Surgical ICU|8, Operating Room|7, out of hospital";;;;;;;;;;;;
ecls_type;eclsmode;;dropdown;"<div class=""rich-text-field-label""><p>ECLS Type<br /><br /></p> <p><span style=""font-weight: normal;"">veno-venous ECMO = pulmonary</span></p> <p><span style=""font-weight: normal;"">ECLS-Implantation during Resuscitation = ECPR</span></p></div>";"1, Pulmonary|2, Cardiac|3, ECPR";;;;;;;y;;;;;
ecls_mode;eclsmode;;dropdown;"ECLS Mode";"1, veno-arterial|2, veno-venous|3, veno-veno-arterial|7, veno-arterial-venous|8, veno-veno--veno-arterial|4, oxy-RVAD|5, A-VCO2R|6, V-V ECCO2R";;;;;;;y;;;;;
percutan;eclsmode;;yesno;"Percutaneous implantation";;;;;;;;;RH;;;;
pre_exist_can;eclsmode;;yesno;"Pre-existing Cannula";;;;;;;;;RH;;;;
pre_exist_can_spec;eclsmode;;checkbox;"Type of pre-existing Cannula ";"1, incoming cannula|4, second incoming cannula|2, drainage cannula|3, second drainage cannula";;;;;;"[pre_exist_can] = '1'";;;;;;" @MAXCHECKED=3"
incoming_cannula;eclsmode;;dropdown;"Localisation of incoming cannula";"1, Ascending Aorta|5, Aortic arch|6, Pulmonary artery|2, Arteria axillaris right|10, Arteria axillaris left|3, Arteria femoralis right|4, Arteria femoralis left|7, Vena femoralis right|8, Vena femoralis left|9, Vena jugularis right|11, Right atrium";;;;;;;y;;;;;
incoming_cannula_sec;eclsmode;;dropdown;"Location of second incoming Cannula";"1, Right Atrium|2, Vena jugularis right|4, Vena femoralis right|5, Vena femoralis left|6, Ascending Aorta|7, Aortic arch|8, Pulmonary artery|9, Arteria axillaris right|10, Arteria axillaris left|11, Arteria femoralis right|12, Arteria femoralis left";;;;;;"[ecls_mode] = '7' or [ecls_mode] = '8'";;;;;;
outgoing_cannula;eclsmode;;dropdown;"Localisation of drainage Cannula";"1, Right Atrium|2, Vena femoralis right|3, Vena femoralis left|4, Vena jugularis right";;;;;;;y;;;;;
outgoing_cannula_sec;eclsmode;;dropdown;"Localisation of second drainage Cannula ";"1, Right Atrium|2, Vena femoralis right|3, Vena femoralis left|4, Vena jugularis right|5, Pulmonary artery";;;;;;"[ecls_mode] = '3' or [ecls_mode] = '8'";;;;;;
limb_perf_necessary;eclsmode;" ";yesno;"Limb Perfusion necessary? ";;"arterial cannula in femoral vessel";;;;;;;RH;;;;
limb_perf_prim;eclsmode;;yesno;"Limb Perfusion present at ECLS Start";;;;;;;[limb_perf_necessary]='1';;RH;;;;
limb_perf_impl_date;eclsmode;;text;"Date of Limb Perfusion Implantation";;;date_dmy;;;;"[limb_perf_prim] = '0'";;;;;;
limb_perf_imp_time;eclsmode;;text;"Time of Limb Perfusion Implantation";;;time;;;;"[limb_perf_prim] = '0'";;;;;;
ecls_stop_date;eclsmode;;text;"Stop Date";;;date_dmy;;;;;;;;;;
ecls_stop_time;eclsmode;;text;"Stop Time";;;time;;;;;;;;;;
ecls_equip_order;eclsequipment;;dropdown;"ECLS Equipment Order";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6|7, 7|8, 8|9, 9|10, 10";;;;;;;;;;;;
equip_start_date;eclsequipment;;text;"ECLS Start Date";;;date_dmy;;;;;;;;;;
equip_start_time;eclsequipment;;text;"ECLS Start Time";;;time;;;;;;;;;;
ecls_pump_system;eclsequipment;;radio;"ECLS Pump System";"1, intial pump system|2, replacement of pump system|3, same pump system";;;;;;;y;;;;;
replac_system;eclsequipment;;descriptive;"<div class=""rich-text-field-label""><p>Mechanical replacement:<span style=""font-weight: normal;""> Blood pump replaced for failure or suspected failure of normal mechanical operation <br /></span>Thrombosis / coagulopathy:<span style=""font-weight: normal;""> Device exchange primarily indicated by clot burden or coagulation derangement <br /></span>Hemolysis:<span style=""font-weight: normal;""> Device exchange primarily indicated by center-specific markers of hemolysis (for example, plasma free hemoglobin, lactate dehydrogenase, haptoglobin or bilirubin) <br /></span>Equipment longevity / center protocol:<span style=""font-weight: normal;""> Device exchange indicated by center-specific protocol regarding longevity of use without evidence of other derangement. May be due to transition to or from a transport ECLS circuit. <br /></span>Entire circuit replaced due to indicated component(s) change:<span style=""font-weight: normal;""> Device was exchanged as part of whole circuit exchange primarily for an indication specific to a circuit component other than the (membrane lung or blood pump) <br /></span>Entire circuit replaced following temporary transition to bypass:<span style=""font-weight: normal;""> Device exchanged during whole circuit exchange following temporary transition of patient mechanical support o cardiopulmonary bypass within a continuous ECLS run</span></p></div>";;;;;;;"[ecls_pump_system] = '2'";;;;;;
replace_system;eclsequipment;;radio;"Reason for System Replacement";"1, Mechanical replacement|2, Thrombosis/Coagulopathy|3, Hemolysis|4, Equipment longevity/Center protocol|5, Entire Circuit replaced due to indicated component Change|6, Entire Circuit replaced following temporary Transition to Bypass|7, Other";;;;;;"[ecls_pump_system] = '2'";;;;;;
replace_system_o;eclsequipment;;text;"Other Reason for System Replacement";;;alpha_only;;;;"[replace_system] = '7'";;;;;;
ecls_system;eclsequipment;;dropdown;"ECLS System ";"1, Centrimag - Levitronix|7, PLS - Getinge|15, HLS Advanced - Getinge= Cardiohelp|10, Deltastream - Xenios|11, SCPC - Stöckert|13, Novalung Xlung Kit Support Set 7000LT|14, Rotaflow - Maquet|12, unknown|6, Other";;;;;;"[ecls_pump_system] = '1' or [ecls_pump_system] = '2'";y;;;;;
other_system;eclsequipment;;text;"Other ECLS System ";;;;;;;"[ecls_system] = '6'";;;;;;
equip_cannula;eclsequipment;;radio;Cannula;"1, Initial cannula|2, Replacement of cannula|3, Same cannula";;;;;;;y;;;;;
replace_cannula;eclsequipment;;radio;"Reason for Cannula Replacement";"1, Thrombosis / Coagulopathy|2, Hemolysis|3, Cannula removed for attempted ECLS Separation|4, Change in cannulation strategy|5, Other";;;;;;"[equip_cannula] = '2'";;;;;;
replace_cannula_o;eclsequipment;;text;"Other Reason for Cannula Replacement";;;;;;;"[replace_cannula] = '5'";;;;;;
incoming_can;eclsequipment;;dropdown;"Incoming Cannula";"1, Maquet CB HLS Cannula 15Fr./15cm|2, Maquet CB HLS Cannula 17Fr./15cm|3, Maquet CB HLS Cannula 19Fr./15cm|4, Maquet CB HLS Cannula 21Fr./15cm|5, Medtronic Bio-Medicus 15 Fr./18cm|6, Medtronic Bio-Medicus 17 Fr./18cm|7, Medtronic Bio-Medicus 19 Fr./18cm|8, Medtronic Bio-Medicus 21 Fr./18cm|9, Medtronic Eopa 18 Fr.|10, Medtronic Eopa 20 Fr.|11, Edwards Fem Flex II 16 Fr.|12, Edwards Fem Flex II 18 Fr.|13, Edwards Fem Flex II 20 Fr.|14, Sorin straight LL down 20 Fr.|15, Sorin straight LL up 16 Fr.|16, LivaNova  Pure Flex 20 Fr.|17, Maquet CB HLS Cannula 21 Fr./55cm|18, Maquet CB HLS Cannula 23 Fr./55cm|19, Maquet CB HLS Cannula 25 Fr./55cm|20, Medtronic Bio-Medicus 15 Fr./50cm|21, Medtronic Bio-Medicus 17 Fr./50cm|22, Medtronic Bio-Medicus 19 Fr./50cm|23, Medtronic Bio-Medicus 21 Fr./50cm|24, Medtronic Bio-Medicus 23 Fr./50cm|25, Medtronic Bio-Medicus 25 Fr./50cm|26, Medtronic Bio-Medicus 27 Fr./50cm|27, Sorin two stage venous cannula 40/32 Fr.|28, Medos two stage venous cannula 36/51 Fr.|29, Maquet/Getinge three stage 28/32 Fr.|30, Edwards Quickdraw 22 Fr.|31, Edwards Quickdraw 25 Fr.|32, LivaNova RAP femoral venous cannula 23/35 Fr.|33, Other|34, Unknown";;;;;;"[equip_cannula] = '1' or [equip_cannula] = '2'";;;;;;
incoming_can_o;eclsequipment;;text;"Other Incoming Cannula";;;;;;;"[incoming_can] = '9'";;;;;;
sec_incoming_can;eclsequipment;;dropdown;"Second Incoming Cannula";"20, non-existent|1, Maquet CB HLS Cannula 21 Fr./55cm|2, Maquet CB HLS Cannula 23 Fr./55cm|3, Maquet CB HLS Cannula 25 Fr./55cm|4, Medtronic Bio-Medicus 15 Fr./50cm|5, Medtronic Bio-Medicus 17 Fr./50cm|6, Medtronic Bio-Medicus 19 Fr./50cm|7, Medtronic Bio-Medicus 21 Fr./50cm|8, Medtronic Bio-Medicus 23 Fr./50cm|9, Medtronic Bio-Medicus 25 Fr./50cm|10, Medtronic Bio-Medicus 27 Fr./50cm|12, Sorin two stage venous cannula 40/32 Fr.|13, Medos two stage venous cannula 36/51 Fr.|17, Maquet/Getinge three stage 28/32 Fr.|14, Edwards Quickdraw 22 Fr.|15, Edwards Quickdraw 25 Fr.|16, LivaNova RAP femoral venous cannula 23/35 Fr.|19, Other|18, Unknown";;;;;;"[equip_cannula] = '1' or [equip_cannula] = '2'";;;;;;
sec_incoming_can_o;eclsequipment;;text;"Other Second Incoming Cannula";;;;;;;"[sec_incoming_can] = '19'";;;;;;
outgoing_can;eclsequipment;;dropdown;"Drainage Cannula ";"1, Maquet CB HLS Cannula 21 Fr./55cm|2, Maquet CB HLS Cannula 23 Fr./55cm|3, Maquet CB HLS Cannula 25 Fr./55cm|4, Medtronic Bio-Medicus 15 Fr./50cm|5, Medtronic Bio-Medicus 17 Fr./50cm|6, Medtronic Bio-Medicus 19 Fr./50cm|7, Medtronic Bio-Medicus 21 Fr./50cm|8, Medtronic Bio-Medicus 23 Fr./50cm|9, Medtronic Bio-Medicus 25 Fr./50cm|10, Medtronic Bio-Medicus 27 Fr./50cm|12, Sorin two stage venous cannula 40/32 Fr.|13, Medos two stage venous cannula 36/51 Fr.|17, Maquet/Getinge three stage 28/32 Fr.|14, Edwards Quickdraw 22 Fr.|15, Edwards Quickdraw 25 Fr.|16, LivaNova RAP femoral venous cannula 23/35 Fr.|20, Medtronic MC2X 32/40 Fr.|19, Other|18, Unknown";;;;;;"[equip_cannula] = '1' or [equip_cannula] = '2'";;;;;;
outgoing_can_o;eclsequipment;;text;"Other Drainage Cannula";;;;;;;"[outgoing_can] = '19'";;;;;;
sec_outgoing_can;eclsequipment;;dropdown;"Second Drainage Cannula ";"20, non-existent|1, Maquet CB HLS Cannula 21 Fr./55cm|2, Maquet CB HLS Cannula 23 Fr./55cm|3, Maquet CB HLS Cannula 25 Fr./55cm|4, Medtronic Bio-Medicus 15 Fr./50cm|5, Medtronic Bio-Medicus 17 Fr./50cm|6, Medtronic Bio-Medicus 19 Fr./50cm|7, Medtronic Bio-Medicus 21 Fr./50cm|8, Medtronic Bio-Medicus 23 Fr./50cm|9, Medtronic Bio-Medicus 25 Fr./50cm|10, Medtronic Bio-Medicus 27 Fr./50cm|12, Sorin two stage venous cannula 40/32 Fr.|13, Medos two stage venous cannula 36/51 Fr.|17, Maquet/Getinge three stage 28/32 Fr.|14, Edwards Quickdraw 22 Fr.|15, Edwards Quickdraw 25 Fr.|16, LivaNova RAP femoral venous cannula 23/35 Fr.|21, Medtronic MC2X 32/40 Fr.|19, Other|18, Unknown";;;;;;"[equip_cannula] = '1' or [equip_cannula] = '2'";;;;;;
sec_outgoing_cannula_o;eclsequipment;;text;"Other Second Drainage Cannula";;;;;;;"[sec_outgoing_can] = '19'";;;;;;
apex_vent;eclsequipment;" ";yesno;"Apex Vent ";;;;;;;;;RH;;;;
apex_vent_spec;eclsequipment;;text;"Apex Vent Type ";;;;;;;"[apex_vent]=""1""";;;;;;
limb_perf;eclsequipment;;radio;"Limb Perfusion";"1, Initial limb perfusion|2, Replacement of limb perfusion|3, Same limb Perfusion|4, Non-existent limb perfusion";;;;;;;;;;;;
replace_limb_perf;eclsequipment;;text;"Reason for Limb Perfusion Replacement";;;;;;;"[limb_perf] = '2'";;;;;;
equip_limb_perf;eclsequipment;;dropdown;"Limb Perfusion ";"1, Arrow (Super Arrow-Flex Percutaneous Sheath Introducer Set with Integral Hemostasis Valve/side Port) 8Fr./24cm|2, Arrow (Super Arrow-Flex Percutaneous Sheath Introducer Set with Integral Hemostasis Valve/Side Port) 5Fr./11cm|6, Medtronic CB-Biomedicus 8F|5, Other";;;;;;"[limb_perf] = '1' or [limb_perf] = '2'";;;;;;
equip_limb_perf_o;eclsequipment;;text;"Other Limb Perfusion";;;;;;;"[equip_limb_perf] = '5'";;;;;;
oxygenator;eclsequipment;" ";radio;"Oxygenator ";"1, Inital oxygenator|2, Replacement of oxygenator|3, Same oxygenator";;;;;;;y;;;;;
replac_oxy;eclsequipment;;descriptive;"<div class=""rich-text-field-label""><p>Structural integrity: <span style=""font-weight: normal;"">Membrane lung exchanged for suspected impaired structural integrity<br /></span>Decreased efficiency of gas exchange: <span style=""font-weight: normal;"">Membrane lung exchanged for the primary reason of compromised oxygenation and/or ventilation <br /></span>Acute obstruction to blood flow: <span style=""font-weight: normal;"">Membrane lung exchanged in response to a sudden loss or significant decrease in blood flow or acute spike in transmembrane pressure within the circuit<br /></span>Increasing resistance to blood flow:<span style=""font-weight: normal;""> Membrane lung exchanged in response to increasing trans-membrane pressures <br /></span>Thrombosis / coagulopathy: <span style=""font-weight: normal;"">Device exchange primarily indicated by clot burden or coagulation derangement. <br /></span>Hemolysis:<span style=""font-weight: normal;""> Device exchange primarily indicated by center-specific markers of hemolysis (for example, plasma free hemoglobin, lactate dehydrogenase, haptoglobin or bilirubin) <br /></span>Equipment longevity / center protocol: <span style=""font-weight: normal;"">Device exchange indicated by center-specific protocol regarding longevity of use without evidence of other derangement. May be due to transition to or from a transport ECLS circuit. <br /></span>Entire circuit replaced due to indicated component(s) change:<span style=""font-weight: normal;""> Device was exchanged as part of whole circuit exchange primarily for an indication specific to a circuit component other than the (membrane lung or blood pump) <br /></span>Entire circuit replaced following temporary transition to bypass:<span style=""font-weight: normal;""> Device exchanged during whole circuit exchange following temporary transition of patient mechanical support o cardiopulmonary bypass within a continuous ECLS run</span></p></div>";;;;;;;[oxygenator]='2';;;;;;
replace_oxy;eclsequipment;;radio;"Reason for Oxygenator Replacement";"1, Structural integrity|2, Decreased Efficiency of gas Exchange|3, Acute obstruction to blood flow|4, Increasing resistance to blood flow|5, Thrombosis/Coagulopathy|6, Hemolysis|7, Equipment longevity/Center protocol|8, Entire circuit replaced due to indicated component Change|9, Entire circuit replaced following temporary Transition to Bypass|10, Other";;;;;;"[oxygenator] = '2'";;;;;;
replace_oxy_o;eclsequipment;;text;"Other Reason for Oxygenator Replacement";;;alpha_only;;;;"[replace_oxy] = '10'";;;;;;
oxy_spec;eclsequipment;;dropdown;"Oxygenator ";"1, Quadrox PLS-i (Getinge)|2, Quadrox HLS Set Advanced 7.0 (Getinge, CardioHelp)|3, Medos Hilite 7000|4, Eurosets ECMO|5, Unknown";;;;;;"[oxygenator] = '1' or [oxygenator] = '2'";;;;;;
heat_exchang;eclsequipment;" ";yesno;"Heat Exchanger ";;;;;;;;;RH;;;;
euqip_stop_date;eclsequipment;;text;"ECLS Stop Date";;;date_dmy;;;;;;;;;;
equip_stop_time;eclsequipment;;text;"ECLS Stop Time";;;time;;;;;;;;;;
na_4h;eclsassessment_first;;yesno;"Not applicable ";;;;;;;;y;RH;;;;
ecls_fi02_4h;eclsassessment_first;;text;"Fi02 in Gas Flow";;%;number;0;100;;[na_4h]='0';;;;;;
ecls_gf_4h;eclsassessment_first;;text;"Gas Flow ";;L/min;number_1dp_comma_decimal;0,5;10,0;;[na_4h]='0';;;;;;
ecls_pf_4h;eclsassessment_first;;text;"Pump Flow";;L/min;number_1dp_comma_decimal;0,5;12,0;;[na_4h]='0';;;;;;
ecls_rpm_4h;eclsassessment_first;;text;"Rotation Speed ";;rpm;number;1;10000;;[na_4h]='0';;;;;;
ecls_compl_na;pump;;yesno;"ECLS Support > 24 hours? ";;;;;;;;y;RH;;;;
ecls_compl_date;pump;;text;"Date of Assessment";;;date_dmy;;;;;;;;;;
ecls_compl_time_point;pump;;dropdown;"Time Point";"1, 24h (day 1)|2, 48h (day 2)|3, 72h (day 3)|4, 96h (day 4)|5, 120h (day 5)|6, 144h (day 6)|7, 168h (day 7)|8, 192h (day 8)|9, 216h (day 9)|10, 240h (day 10)|11, day 11|12, day 12|13, day 13|14, day 14|15, day 15|16, day 16|17, day 17|18, day 18|19, day 19|20, day 20|21, day 21|22, day 22|23, day 23|24, day 24|25, day 25|26, day 26|27, day 27|28, day 28|29, day 29|30, day 30|31, day 31|32, day 32|33, day 33|34, day 34|35, day 35|36, day 36|37, day 37|38, day 38|39, day 39|40, day 40|41, day 41|42, day 42|43, day 43|44, day 44|45, day 45|46, day 46|47, day 47|48, day 48|49, day 49|50, day 50";;;;;;[ecls_compl_na]='1';y;;;;;
ecls_pf;pump;"Pump Parameter";text;"Pump Flow ";;;number_1dp_comma_decimal;0,5;12,0;;[ecls_compl_na]='1';;;;;;
ecls_fi02;pump;;text;"Fi02 in Gas Flow";;%;number;0;100;;[ecls_compl_na]='1';;;;;;
ecls_gf;pump;;text;"Gas Flow ";;L/min;number_1dp_comma_decimal;0,5;10,0;;[ecls_compl_na]='1';;;;;;
ecls_rpm;pump;;text;"Rotation Speed";;rpm;number;0;10000;;[ecls_compl_na]='1';;;;;;
mechanical_complications;pump;" ";yesno;"Mechanical Complications";;;;;;;;y;RH;;;;
oxygenator_failure;pump;;yesno;"Oxygenator Failure ";;"requiring change due to clot formation or gas exchange failure or blood leak";;;;;"[mechanical_complications] = '1'";;RH;;;;
pump_failure;pump;;yesno;"Pump Failure";;"requiring hand cranking or pump exchange";;;;;"[mechanical_complications] = '1'";;RH;;;;
raceway_rupture;pump;;yesno;"Raceway Rupture";;"in a roller pump rupture of the raceway tubing";;;;;"[mechanical_complications] = '1'";;RH;;;;
other_tubing_ruputure;pump;;yesno;"Other Tubing Rupture";;"Rupture of ECLS tubing";;;;;"[mechanical_complications] = '1'";;RH;;;;
circuit_change;pump;;yesno;"Circuit Change ";;"entire circuit changed due to clot formation or mechanical failure";;;;;"[mechanical_complications] = '1'";;RH;;;;
heat_exchange_malfunction;pump;;yesno;"Heat Exchange Malfunction";;"malfunction of heat exchanger leading to unintentional hypothermie < 35°C or hyperthermia >39°C";;;;;"[mechanical_complications] = '1'";;RH;;;;
thrombosis_circuit_component;pump;;yesno;"Thrombosis/Clots Circuit Component";;"circuit component requiring change due to clot formation or mechanical failure";;;;;"[mechanical_complications] = '1'";;RH;;;;
cannula_problems;pump;;yesno;"Cannula Problems";;"requiring intervention for misplacement, dislodgement, replacement due to clots/fibrin, mechanical failure or inappropriate position";;;;;"[mechanical_complications] = '1'";;RH;;;;
clots_hemofilter;pump;;yesno;"Clots Hemofilter";;"clots in hemofilter causing hemofilter to need to be changed or to fail";;;;;"[mechanical_complications] = '1'";;RH;;;;
air_circuit;pump;;yesno;"Air in Circuit";;"Requiring circuit intervention or circuit clamping for bubble detector alarm, visualized air, air entry into patient";;;;;"[mechanical_complications] = '1'";;RH;;;;
mc_o;pump;;yesno;"Other Mechanical Complications";;;;;;;"[mechanical_complications] = '1'";;RH;;;;
mc_o_spec;pump;;text;"Specific Other Mechanical Complication
";;;;;;;[mc_o]='1';;RH;;;;
disc_reason;discontinuation_vaecls;;checkbox;"Discontinuation Reason";"1, Expected recovery (Hospital discharge after ECLS/Impella explantation)|2, Death or Poor Prognosis|3, Resource Limitation|4, ECLS Complication|14, MCS|15, Transplantation";"Expected recovery if patient alive >48 hours after ECLS implantation";;;;;;y;;;;;
mcs_post_ecls;discontinuation_vaecls;;checkbox;"Mechanical Circulatory Support after ECLS ";"1, temporary RVAD|2, implantable RVAD|3, temporary LVAD|4, implantable LVAD|5, temporary BiVAD|6, implantable BiVAD|7, paracorporeal BiVAD|8, Pumpless Lung Assist";;;;;;"[disc_reason(14)] = '1'";;;;;;
transplant_post_ecls;discontinuation_vaecls;;checkbox;"Transplantation from ECLS ";"1, Heart transplant|2, Lung transplant|3, Heart and lung transplant";;;;;;"[disc_reason(15)] = '1'";;;;;;
cannula_repair;discontinuation_vaecls;;yesno;"Cannula Site Repair ";;;;;;;;;RH;;;;
cannula_repair_spec;discontinuation_vaecls;;notes;"Surgical Procedure of Cannula Site Repair";;;;;;;"[cannula_repair] = '1'";;;;;;
pre_ecmella_2_0;preimpella;;yesno;"<div class=""rich-text-field-label""><p>Implantation of Impella and ECLS in same session?<br /><br />ECMELLA 2.0?</p></div>";;;;;;;;;RH;;;;
pre_ecmella_2_1;preimpella;;yesno;"<div class=""rich-text-field-label""><p>Implantation of Impella and ECLS in same session?<br /><br />ECMELLA 2.0?</p></div>";;;;;;;;;RH;;;;
pre_ecmella_1_0;preimpella;;yesno;"Combined support of ECLS and Impella?

ECMELLA 1.0? ECLS on top of Impella - Impella on top of ECLS? 

NOT Impella just for ECLS weaning!";;;;;;;"[pre_ecmella_2_0] = '0'";;RH;;;;
pat_admit_date_i;preimpella;;text;"Hospital Admit Date";;;date_dmy;1990-01-01;2030-01-01;y;"[pre_ecmella_1_0] = '0'";y;;;;;
pat_admit_time_i;preimpella;;text;"Hospital Admit Time";;;time;;;;"[pre_ecmella_1_0] = '0'";;;;;;
age_hospital_admit_i;preimpella;;calc;"Age at Hospital Admission";"round(datediff([birthdate],[pat_admit_date_i],""y""))";;;;;;"[pre_ecmella_1_0] = '0'";;RH;;;;" @HIDEN"
pat_transp_i;preimpella;;radio;"Patient Transported to Heart Center ";"1, transported not on Impella/ECLS|2, transported on Impella|4, transported on ECLS|3, not transported";;;;;;"[pre_ecmella_1_0] = '0'";y;;;;;
pat_icu_date_i;preimpella;;text;"ICU Admit Date";;;date_dmy;2010-01-01;2030-01-01;;"[pre_ecmella_1_0] = '0'";;;;;;
pat_icu_time_i;preimpella;;text;"ICU Admit Time";;;time;;;;"[pre_ecmella_1_0] = '0'";;;;;;
pre_intermacs_i;preimpella;;radio;"INTERMACS Level";"1, 1|2, 2|3, 3|4, 4|5, 5|6, 6";;;;;;"[pre_ecmella_2_0] = '0'";;RH;;;;
pre_scai_i;preimpella;;radio;"SCAI Stage";"1, A|2, B|3, C|4, D|5, E";;;;;;"[pre_ecmella_2_0] = '0'";;RH;;;;
reason_impella;preimpella;;radio;"Reason for Impella";"1, Ischemic Cardiomyopathy|13, Acute Myocardial Infarction|2, Dilatative Cardiomyopathy|3, Valvular Cardiomyopathy|4, Myokarditis|5, Postpartum Cardiomyopathy|6, Toxic Cardiomyopathy|7, Postcardiotomy Syndrom|9, Pulmonary Embolism|10, VAD infection|11, Protected cardiac surgery/intervention|8, {reason_impella_other}";;;;;;"[pre_ecmella_1_0] = '0'";y;;;;;
reason_impella_other;preimpella;;text;"Other Reason for Impella-Implantation";;;;;;;"[reason_impella] = '8'";;;;;;
reason_implant_i;preimpella;;radio;"Reason for Impella Implantation";"1, Left ventricular unloading|2, ECLS Weaning|3, Cardiogenic Shock";;;;;;"[pre_ecmella_1_0] = '0'";;;;;;
pre_postcard_i;preimpella;;yesno;"Heart Surgery in the last 7 days? 

(Postcardiotomy Syndrome) ";;;;;;;"[pre_ecmella_2_0] = '0'";;RH;;;;
pre_failure_cpb_i;preimpella;;yesno;"Failure to Wean from Cardiopulmonary Bypass? ";;;;;;;"[pre_postcard_i] = '1'";;RH;;;;
pre_euroscore_i;preimpella;;text;"EuroScore ";;;number_2dp_comma_decimal;;;;"[reason_impella] = '11' and [reason_impella] = '7'";;;;;;
pre_mi_i;preimpella;;yesno;"Pre Impella Myocardial Infarction ";;;;;;;"[pre_ecmella_2_0] = '0'";y;RH;;;;
pre_mi_date_i;preimpella;;text;"Date of Myocardial Infarction";;;date_dmy;;;;[pre_mi_i]='1';;;;;;
pre_mi_type_i;preimpella;;radio;"Type of Myocardial Infarction";"1, NSTEMI|2, STEMI|3, unknown";;;;;;[pre_mi_i]='1';;RH;;;;
pre_cardiac_arrest_i;preimpella;;yesno;"Pre Impella Cardiac Arrest";;"Cardiac Arrest within 24 hours prior to Impella with the administration of external cardiac massage ";;;;;"[pre_ecmella_2_0] = '0'";y;RH;;;;
pre_cardiac_arrest_dur_i;preimpella;;text;"Duration of Cardiac Arrest ";;;number;1;90;;[pre_cardiac_arrest_i]='1';;;;;;
pre_cardiac_arrest_type_i;preimpella;;checkbox;"Type of Cardiac Arrest";"1, Out of Hospital|2, In Hospital|3, unknown";;;;;;[pre_cardiac_arrest_i]='1';;RH;;;;
pre_cardiac_arrest_rhythm_i;preimpella;;checkbox;"Electrocardiographic Rhythm during Cardiac Arrest";"1, Ventricular Fibrillation|2, Pulseless Ventricular Tachycardia|3, Pulseless Electrical Activity|4, Asystole|5, unknown";;;;;;[pre_cardiac_arrest_i]='1';;;;;;
bridge_transp_i;preimpella;;yesno;"Bridge to Transplant ";;;;;;;"[pre_ecmella_2_0] = '0'";y;RH;;;;
trauma_i;preimpella;;yesno;"Is Trauma the underlying reason for Impella?";;;;;;;"[pre_ecmella_2_0] = '0'";y;RH;;;;
intubation_i;preimpella;" ";radio;"Intubation before Impella-Implantation";"1, Yes|2, No|3, Pre-Existing tracheostomy";;;;;;"[pre_ecmella_2_0] = '0'";y;RH;;;;
ventil_date_i;preimpella;;yesno;"Invasive Ventilation start date available?";;;;;;;"[intubation_i] = '1' or [intubation_i] = '3'";;RH;;;;
ventil_start_date_i;preimpella;;text;"Invasive Ventilation start date";;;date_dmy;1990-01-01;2030-01-01;;[ventil_date_i]='1';;;;;;
pre_vent_duration_i;preimpella;;calc;"Pre Impella Ventilation Duration";"round(datediff([ventil_start_date_i],[ecls_start_date],""d""))";;;;;;;;;;;;" @HIDDEN"
ventil_time_i;preimpella;;yesno;"Invasive Ventilation start time available?";;;;;;;"[intubation_i] = '1' or [intubation_i] = '3'";;RH;;;;
ventil_start_time_i;preimpella;;text;"Invasive Ventilation start time";;;time;;;;[ventil_time_i]='1';;;;;;
pre_mcs_i;preimpella;" ";checkbox;"Mechanical Cardiac Support Codes ";"10, ECLS|2, Cardiopulmonary Bypass|5, RVAD|6, LVAD|7, BiVAD|8, Berlin Heart|9, None";"used within the 24 hours pre Impella";;;;;"[pre_ecmella_2_0] = '0'";y;;;;;" @NONEOFTHEABOVE=9"
pre_ecls_rvad_i;preimpella;;dropdown;"RVAD ";"1, Levitronix|2, Heartware|3, Heartmate III|4, Heartmate II";;;;;;"[pre_mcs_i(5)] = '1'";;;;;;
pre_ecls_rvad_date_i;preimpella;;text;"Date of Implantation";;;date_dmy;1990-01-01;2030-01-01;;"[pre_mcs_i(5)] = '1'";;;;;;
